DATE,TEAM,NAME,POS,CASE,CATEGORY,DESCRIPTION,OUTCOME,Found
3/5/2020,New York Jets,Quinnen Williams,DE,Arrested,Gun,Accused of criminal possession of pistol at LaGuardia Airport in New York.,Resolution undetermined.,1
1/17/2020,New England,Joejuan Williams,CB,Arrested,Drugs,"Pulled over for speeding in Nashville, accused of possessing a controlled substance without a prescription.",Pleaded no contest to simple possession. Diversion program.,1
1/11/2020,New England,Julian Edelman,WR,Arrested,Vandalism,"Accused of jumping on the hood of a Mercedes in Beverly Hills, Calif., causing damage.",Charge dropped.,1
12/29/2019,Miami,Xavien Howard,CB,Arrested,Domestic violence,"Police in Davie, Fla., say he pushed his fiancee against a wall and that she had visible scratches and redness on her arm.",Dropped after woman declined to proceed with case.,1
12/20/2019,Pittsburgh,Kameron Kelly,S,Arrested,Disorderly conduct,Accused of making threats and resisting arrest at bar in Pittsburgh.,Resolution undetermined. Team released him same day.,1
12/3/2019,Dallas,Antwaun Woods,DT,Arrested,Drugs,"Pulled over for speeding in Frisco, Texas, and accused of marijuana possession, tampering with evidence.",Resolution undetermined,1
11/19/2019,Miami,Mark Walton,RB,Arrested,Domestic violence,"Police say he punched his pregnant girlfriend several times in the head in Davie, Fla.",Dropped by prosecutors after the woman declined to cooperate.,1
11/6/2019,Dallas,Daniel Ross,DT,Arrested,"Drugs, gun","Accused of marijuana possession and unlawful carrying of a weapon in Frisco, Texas.",Resolution undetermined.,1
10/20/2019,Pittsburgh,Anthony Chickillo,LB,Arrested,Domestic violence,"Accused of simple assault, criminal mischief after altercation with girlfriend at casino in Pennsylvania. Police noticed redness on her arms.",Dropped by prosecutors.,1
10/2/2019,Jacksonville,Marcell Dareus,DT,Cited,Drugs,"Pulled over for speeding near Atlantic Beach, Fla., accused of marijuana possession.",Dropped by prosecutors.,1
9/19/2019,Denver,Kareem Jackson,S,Arrested,DUI,"Pulled over for speeding, accused of driving drunk in Denver.","Pleaded guilty to lesser charge, 12 months probation, NFL suspended two games.",1
8/9/2019,Arizona,Darius Philon,DT,Arrested,"Assault, gun",Charged with aggravated assault involving deadly weapon stemming from incident at a Phoenix strip club in May when he allegedly threatened a dancer.,Resolution undetermined. Team released him the next day.,1
8/8/2019,New England,Patrick Chung,S,Indicted,Drugs,Accused of felony cocaine possession in New Hampshire in June.,"Diversion program, 40 hours community service, drug-testing.",1
7/17/2019,Arizona,Desmond Harrison,OT,Warrant,Domestic violence,"Suspected of assault and strangulation of a female during an incident at a residence in Greensboro, N.C.",Resolution undetermined. Team cut him the next day.,1
7/11/2019,New York Giants,Kam Moore,S,Arrested,Domestic violence,"Accused of punching woman, stepping on her neck in domestic incident in Union County, N.J.",Case dismissed by judge.,1
6/6/2019,Arizona,Robert Nkemdiche,DE,Arrested,License,"Pulled over for speeding, accused of driving with a suspended license in Scottsdale, Ariz.",Resolution undetermined.,1
4/26/2019,Houston,Ryan Griffin,TE,Arrested,Public intoxication,"Accused of punching out window of hotel in Nashville, public intoxication.","Paid $306 in restitution, community service, plus court costs.",1
4/13/2019,Philadelphia,Jalen Mills,CB,Arrested,Disorderly conduct,"Accused of getting into an altercation with NBA player Devin Robinson outside nightclub in Washington, D.C.",Resolution undetermined.,1
4/11/2019,Jacksonville,Leonard Fournette,RB,Arrested,License,"Pulled over for speeding in Jacksonville, accused of driving with a suspended license after not paying ticket for previous traffic violation.","Pleaded no contest, fined $303.",1
4/4/2019,Cincinnati,Mark Walton,RB,Surrendered,"Drugs, gun","Accused of carrying a concealed weapon, marijuana possession and reckless driving in North Miami-Dade stemming from incident on March 12.","Pleaded no contest to misdemeanor weapons charge, six months probation.",1
3/27/2019,Dallas,Tyrone Crawford,DE,Charged,Disorderly conduct,"Accused of misdemeanor unlawful assembly in fight at saloon in Panama City, Fla.","Diversion program, six months of probation, anger management.",1
3/1/2019,Baltimore,Alex Collins,RB,Arrested,"Drugs, gun","Police responded to report of a car crash and said they found Collins with marijuana and gun in his vehicle in Owings Mills, Md.","Pleaded guilty to misdemeanors, 18 months probation. Team released him same day.",1
3/1/2019,Green Bay,Antonio Morrison,LB,Cited,Disorderly conduct,"Accused of interfering with flight operations on plane in Milwaukee, forced to exit plane after incident over placement of a bag under seat.","Pleaded no contest, $200 bond posted.",1
2/15/2019,Cincinnati,Mark Walton,RB,Arrested,Battery,Accused of misdemeanor and getting into a scuffle with a woman at Walton's parking garage in Miami.,"Plea deal, charge dismissed in multi-case agreement.",1
1/26/2019,Kansas City,De''Anthony Thomas,WR,Arrested,Drugs,"Suspected of possessing marijuana and drug paraphernalia in Allen County, Kan.","Diversion program, fined $664.",1
1/16/2019,Cincinnati,Mark Walton,RB,Charged,Drugs,"Pulled over for not wearing a seat belt, accused of misdemeanor marijuana possesions in North Miami-Dade.","Plea deal, charge dismissed in multi-case agreement.",1
12/18/2018,Washington,Montae Nicholson,S,Arrested,Assault,"Suspected of assault and public drunkenness after police responded to a report of a fight in Ashburn, Va.",Resolution undetermined.,1
11/24/2018,San Francisco,Reuben Foster,LB,Arrested,Domestic violence,Accused of pushing and slapping a woman in Tampa. Police observed scratch on woman's neck.,Dropped by prosecutors. Released by team the morning after arrest.,1
10/30/2018,New York Giants,Kyle Lauletta,QB,Arrested,Eluding police,"Accused of resisting arrest, eluding police and reckless driving in Weehawken, N.J.",Resolution undetermined.,1
10/22/2018,Denver,Chad Kelly,QB,Arrested,Trespassing,"Charged with first-degree criminal trespassing after police were called about a man inside a home in Englewood, Colo.","Pleaded guilty to misdemeanor, one year probation, 50 hours community service.",1
8/31/2018,Dallas,Rico Gathers,TE,Arrested,Drugs,"Suspected of marijuana possession in Frisco, Texas.","Deferred prosecution agreement, $99 fine, court costs.",1
7/14/2018,Carolina,Vernon Butler,DT,Cited,Assault,Accused of pushing and throwing drink in the face of a woman at nightclub around 2 a.m. in Dallas.,Resolution undetermined.,1
7/14/2018,Arizona,Ricky Seals-Jones,TE,Arrested,Assault,"Accused of pushing hotel staffer in effort to use the restroom in Scottsdale, Ariz.","Pleaded guilty to misdemeanor, diversion program for alcohol abuse.",1
6/15/2018,Dallas,Marquez White,CB,Arrested,Assault,Accused of aggravated assault with a deadly weapon in apparent road-rage incident near Dallas.,Resolution undetermined.,1
6/9/2018,Cincinnati,Logan Woodside,QB,Arrested,DUI,"Pulled over in Kentucky for speeding, suspected of drunken driving.",Resolution undetermined.,1
6/3/2018,Indianapolis,Chris McCain,DE,Charged,Battery,"Accused of spitting on a woman and grabbing her neck in Los Angeles in Jan. 7, when he was a member of the Chargers.",Resolution undetermined.,1
6/2/2018,New York Jets,Chris Herndon,TE,Arrested,DUI,"Suspected of driving while intoxicated Morris County, N.J., after crashing into the vehicle of a 76-year-old man.","Pleaded guilty, suspended license, NFL suspended four games.",1
5/19/2018,Dallas,Terrance Williams,WR,Arrested,Public intoxication,"Suspected of public intoxication after police in Frisco, Texas found his Lamborghini abandoned after hitting a pole.","Diversion program in alcohol awareness, paid restitution.",1
4/15/2018,Green Bay,Trevor Davis,WR,Arrested,Bomb threat,Accused of talking about explosives when checking for flight at Los Angeles airport.,Dropped by prosecutors.,1
4/15/2018,Philadelphia,Daryl Worley,CB,Arrested,DUI,Accused of resisting arrest after being found unconscious in car blocking highway in Philadelphia. Gun without permit recovered from the scene.,"Pleaded guilty to three charges, 72 hours in jail. NFL suspended four games. Team released him hours after arrest.",1
3/23/2018,Seattle,Michael Bennett,DE,Indicted,Injury to elderly,Accused of pushing his way past a 66-year-old parapalegic security worker at the Super Bowl in Houston in 2017 when Bennett was a spectator and played for Seattle.,Dropped by prosecutors.,1
3/23/2018,New England,Duron Harmon,S,Detained,Drugs,"Apprehended at Costa Rica airport, accused of carrying 58 grams of marijuana inside a can of iced tea.",Sent back to the U.S.,1
3/7/2018,Denver,Adam Gotsis,DE,Arrested,Sexual assault,"Apprehended in Atlanta, accused of rape in an incident that happened in 2013 when Gotsis was a student at Georgia Tech.",Dropped by prosecutors.,1
3/3/2018,Oakland,Aldon Smith,LB,Warrant,Domestic violence,Smith allegedly fled the scene of a domestic incident in which the victim suffered non-life-threatening injuries in San Francisco.,Resolution undetermined. Team cut him within two days.,1
2/26/2018,New York Jets,Dylan Donahue,LB,Arrested,DUI,"Accused of drunken driving, driving wrong way in Lincoln Tunnel in New York-New Jersey and crashing into a bus with a blood-alchohol content of 0.15.","Pleaded guilty, license suspended, education program.",1
2/11/2018,San Francisco,Reuben Foster,LB,Arrested,Domestic violence,"Suspected of domestic violence, possession of an assault rifle and making criminal threats in Los Gatos, Calif.","Pleaded no contest to weapons charge, 232 hours community service, domestic case dropped.",1
2/1/2018,Cincinnati,Josh Tupou,DT,Arrested,Public intoxication,"Kicked out of bar in Boulder, Colo., accused of violating probation from 2015 altercation.","Sentenced to additional year of probation, 48 hours of community service.",1
1/25/2018,Baltimore,Marlon Humphrey,CB,Arrested,Robbery,Accused of stealing $15 phone charger and refusing to give it back to an Uber driver in Alabama.,Dismissed by judge in Alabama.,1
1/25/2018,Kansas City,Kevin Pierre-Louis,LB,Arrested,Drugs,"Pulled over in Kansas, accused of marijuana possesion and related misdemeanors.","Plea deal, one-year probation, NFL suspended one game.",1
1/19/2018,New York Jets,Robby Anderson,WR,Arrested,Eluding police,"Accused of reckless driving in Sunrise, Fla., resisting arrest, fleeing police and threatening a police officer's family.","Pleaded no contest to reckless driving, six months probation.",1
1/14/2018,Denver,Carlos Henderson,WR,Arrested,Drugs,"He was the passenger in a car pulled over for speeding in West Monroe, La., and was suspected of marijuana possession.","Plea agreement, NFL suspended one game.",1
1/14/2018,Seattle,Jeremy Lane,CB,Arrested,DUI,"Pulled over and suspected of drunken driving in King County, Wash. Lane said his blood-alcohol content was .03.","Pleaded guilty to reckless driving, suspended sentence, two days on work crew.",1
1/12/2018,San Francisco,Reuben Foster,LB,Arrested,Drugs,"Accused of misdemeanor marijuana possession in Tuscaloosa, Ala.","Diversion program, including drug testing and education.",1
1/3/2018,Tampa Bay,T.J. Ward,S,Arrested,Drugs,"Accused of marijuana possession in Tampa, based on outstanding warrant from incident in October 2017.",Dropped by prosecutors.,1
12/15/2017,New York Jets,Rashard Robinson,CB,Arrested,Drugs,"Pulled over for careless driving in Hanover Township, N.J., accused of possessing candy containing marijuana.",Resolution undetermined. NFL suspended four games.,1
12/10/2017,Seattle,Malik McDowell,DT,Arrested,Disorderly conduct,Accused of being disruptive at night club in Georgia despite police warnings.,Resolution undetermined.,1
11/18/2017,Miami,Rey Maualuga,LB,Arrested,Battery,Accused of grabbing and shoving a person at Miami nightclub after refusing to pay a $40 bar tab.,Resolution undetermined. Released by team later that day.,1
11/13/2017,Carolina,Matt Kalil,OT,Charged,Selling alcohol to minor,Accused of selling alcohol to minor at pizza restaurant he owns in Minnesota despite not being present for sale.,Resolution undetermined.,1
11/11/2017,Kansas City,Roy Miller,DT,Arrested,Domestic violence,Suspected of domestic battery in Jacksonville. Arrest report said his wife had marks on her face and neck after confrontation.,Diversion program. NFL suspended six games. Team released him two days after incident.,1
10/5/2017,Cincinnati,Tyler Boyd,WR,Charged,Drugs,Charged with owning a vape pen containing marijuana ingredient after friend crashed his car in Pittsburgh in July.,Dismissed charges in court.,1
10/1/2017,Green Bay,Aaron Jones,RB,Arrested,"DUI, drugs","Pulled over for speeding in Ashwaubenon, Wisc., accused of operating a vehicle with a restricted substance after smoking marijuana.","Pleaded no contest, $1,047 in court costs, NFL suspended two games.",1
9/2/2017,Green Bay,Lance Kendricks,TE,Cited,Drugs,"Pulled over speeding in Wisconsin, cited for marijuana possession.","Pleaded no contest, six months probation.",1
8/18/2017,New York Giants,Michael Bowie,OT,Arrested,Domestic violence,"Accused of domestic assault and battery, grabbing girlfriend by the neck and throwing her to the ground in Tulsa.",Resolution undetermined.,1
8/17/2017,Oakland,Sean Smith,CB,Arrested,Assault,"Charged with felony assault for incident in Pasadena, Calif., on July 4. Accused of stomping on head of sister's boyfriend.","Pleaded guilty, one year in jail, five years' probation.",1
7/18/2017,Jacksonville,Dante Fowler,DE,Arrested,Battery,"Accused of hitting a man who criticized his driving in St. Petersburg, Fla.","Pleaded no contest, 75 hours community service, one-year probation, $925 fine.",1
7/16/2017,Houston,D'Onta Foreman,RB,Arrested,"Drugs, gun","Accused of marijuana possession and unlawfully carrying a gun in Austin, Texas.","Pleaded no contest to disorderly conduct, $500 fine, required to turn in gun.",1
7/4/2017,Dallas,Damien Wilson,LB,Arrested,"Assault, gun","Charged with two counts of aggravated assault with a deadly weapon in Frisco, Texas after allegedly brandishing rifle at a man.",Dropped after grand jury declined to indict.,1
6/29/2017,Pittsburgh,Artie Burns,CB,Arrested,Suspended license,"Pulled over in Miami Beach, accused of driving with a suspended license.",Resolution undetermined.,1
6/21/2017,Green Bay,Letroy Guion,DT,Arrested,DUI,"Pulled over in Hawaii, suspected of drunken driving.",Resolution undetermined.,1
6/21/2017,New York Jets,Lorenzo Mauldin,LB,Charged,Assault,Accused of attacking man at nightclub in New York April 2.,Dropped by prosecutors.,1
6/4/2017,New York Giants,Roger Lewis,WR,Arrested,"DUI, drugs","Pulled over in Reynoldsburg, Ohio, acccued of operating a vehicle while impaired after police smelled marijuana.","Fined $175 for lesser charges, including having tinted windows. Most serious charge dismissed.",1
5/29/2017,Dallas,Nolan Carroll,CB,Arrested,DUI,"Pulled over in Dallas, suspected of driving while intoxicated.",Resolution undetermined.,1
5/9/2017,New York Jets,Dylan Donahue,LB,Arrested,DUI,"Accused of drunken driving in Billings, Montana.",Resolution undetermined.,1
5/7/2017,New York Jets,Robby Anderson,WR,Arrested,Resisting arrest,Accused of fighting police and security at music festival in Miami.,Dropped.,1
4/14/2017,Carolina,Michael Oher,OT,Cited,Assault,Accused of getting into scuffle with Uber driver in Nashville in apparent dispute over fare.,Dropped.,1
4/7/2017,Washington,Junior Galette,LB,Arrested,Disorderly conduct,"Accused of getting into a fight and running away from police in Biloxi, Miss.",Resolution undetermined.,1
4/6/2017,Seattle,Trevone Boykin,QB,Arrested,Probation violation,Apprehended in San Antonio for violating probation with March 27 arrest. Probation stemmed from 2015 bar fight while at TCU.,Resolution undetermined.,1
4/6/2017,San Francisco,Tramaine Brock,CB,Arrested,Domestic violence,"Suspected of felony domestic violence in Santa Clara, Calif. Officers said female had visible injuries.",Dropped by prosecutors based on insufficient evidence.,1
4/1/2017,Arizona,Marquis Bundy,WR,Arrested,Disorderly conduct,"Suspected of failing to obey police commands after getting agitated outside club in Scottsdale, Ariz.",Resolution undetermined.,1
3/31/2017,Denver,Will Parks,S,Arrested,Domestic violence,"Accused of harassment and non-physical domestic violence in incident involving his former girlfriend in Englewood, Colo.",Charges dropped after woman didn''''t testify.,1
3/27/2017,Seattle,Trevone Boykin,QB,Arrested,Drugs,"Accused of marijuana possession, public intoxication. He was a passenger in a car involved in accident in Dallas.",Resolution undetermined.,1
3/26/2017,Green Bay,Makinton Dorleant,CB,Arrested,Police interference,"Accused of interfence after scuffle outside of bar in Cedar Falls, Iowa.",Resolution undetermined.,1
3/26/2017,Chicago,Deiondre Hall,CB,Arrested,Disorderly conduct,"Accused of disorderly conduct, public intoxication and interference outside bar in Cedar Falls, Iowa.",Resolution undetermined.,1
3/7/2017,Kansas City,Demetrius Harris,TE,Arrested,Drugs,Suspected of felony marijuana possession as passenger in car pulled over in Missouri.,"Plea deal, two days in jail, 80 hours community service.",1
2/25/2017,Baltimore,Matt Elam,S,Arrested,Drugs,"Pulled over in Miami Beach, accused of possessing marijuana, Oxycodone.",Resolution undetermined.,1
2/25/2017,Indianapolis,David Parry,DT,Arrested,"DUI, resisting arrest","Suspected of stealing golf cart, driving drunk, resisting arrest in Scottsdale, Ariz.","Pleaded guilty to reduced charges, two years of probation.",1
2/16/2017,New York Jets,Darrelle Revis,CB,Charged,Assault,Accused of aggravated assault after altercation in Pittsburgh. Video shows two men on the ground unconscious.,Charges dismissed.,1
1/12/2017,Green Bay,Sam Shields,CB,Charged,Drugs,"Accused of misdemeanor marijuana possession from incident in Ashwaubenon, Wisc., on Oct. 19, 2016.","Pleaded no contest, $500 fine.",1
1/4/2017,Kansas City,Khaseem Greene,LB,Charged,Gun,"Accused of unlawful possession of a weapon and handing gun to a man who fired into a crowd in Union County, N.J.",Charge dismissed after accused shooter said he lied. Team cut him after his indictment in May 2017.,1
1/2/2017,Cincinnati,Adam Jones,CB,Arrested,Assault,"Accused of poking hotel security employee in the eye in Cincinnati, obstructing police.","Pleaded guilty to misdemeanor charge, sentenced to time served of two days in jail.",1
12/17/2016,Seattle,Damontre Moore,DE,Arrested,DUI,"Suspected of driving while intoxicated in King County, Washington.",Resolution undetermined.,1
12/15/2016,Green Bay,Geronimo Allison,WR,Charged,Drugs,"Accused of marijuana possession after getting pulled over for speeding in Manitowoc County, Wisc., in September.","Fined $330, community service. NFL suspended one game.",1
12/12/2016,Arizona,Michael Floyd,WR,Arrested,DUI,"Found unconscious in idle car in Scottsdale, Ariz., charged with drunken driving.","Pleaded guilty to extreme DUI, 24 days in jail, 96 in home detention, 30 hours community service.",1
11/29/2016,Miami,Leon Orr,DT,Arrested,Drugs,"Pulled over for tinted windows, charged with marijuana possession near Naples, Fla. Deputies also found gun in car.",Resolution undetermined. Team released him next day.,1
11/1/2016,Philadelphia,Josh Huff,WR,Arrested,"DUI, drugs, gun","Pulled over on bridge next to Camden County, N.J., and accused of drunken driving, marijuana possession and having an unloaded gun without a permit.",Resolution undetermined. Team released him later that week.,1
10/2/2016,Philadelphia,Nigel Bradham,LB,Arrested,Gun,Accused of carrying loaded gun through airport security in Miami.,Dropped by prosecutors.,1
9/16/2016,Tampa Bay,Austin Seferian-Jenkins,TE,Arrested,DUI,"Pulled over for speeding and driving erratically, accused of drunken driving in Tampa.","Pleaded no contest to reduced charge, one-year probation, 50 hours community service. Team released him same day.",1
9/5/2016,San Francisco,Bruce Miller,TE,Arrested,Assault,Accused of assaulting a man and his 70-year-old father at hotel in San Francisco.,Resolution undetermined. Team released him same day.,1
7/25/2016,Philadelphia,Nigel Bradham,LB,Arrested,Assault,Suspected of punching somebody in the nose at a Miami Beach hotel after verbal altercation.,Deferred prosecution.,1
7/8/2016,Indianapolis,Robert Turbin,RB,Cited,Drugs,Police in Utah accused him of marijuana possession after pulling him over for running a stop sign and then smelling it in his car.,Charges dropped.,1
6/19/2016,Jacksonville,Dan Skuta,LB,Arrested,Battery,Accused of pushing a woman's face with an open hand after she refused to give him her phone number in Orlando.,Dropped by prosecutors.,1
5/30/2016,Denver,Cody Latimer,WR,Arrested,Traffic warrant,Latimer called police and alleged his girlfriend hit him. Police found outstanding traffic warrant from 2015 and arrested him for that in Colorado..,Paid $311 to settle ticket.,1
4/24/2016,Carolina,Cameron Artis-Payne,RB,Arrested,Reckless driving,Accused of driving 102 mph in a 65-mph zone in North Carolina.,Resolution undetermined.,1
3/4/2016,Baltimore,Terrell Suggs,LB,Arrested,License,"Accused of leaving the scene of an accident and driving with a suspended license in Scottsdale, Ariz.","Charges dropped, driving class for speeding.",1
2/28/2016,Houston,Jaelen Strong,WR,Arrested,Drugs,"Accused of marijuana possession after traffic stop in Scottsdale, Ariz.","Diversion program, education and counseling.",1
2/17/2016,Indianapolis,Jonathan Newsome,LB,Arrested,Drugs,"Accused of marijuana possession in Zionsville, Ind., after police responded to a complaint about loud music at his residence.","Pleaded guilty to misdemeanor, sentenced to supervised probation. Team released him shortly after the incident.",1
2/13/2016,Denver,Shiloh Keo,S,Arrested,DUI,"Accused of drunken driving in Ada County, Idaho.","Pleaded guilty to misdemeanor, one year probation, community service, fined nearly $1,000.",1
2/5/2016,New England,Montee Ball,RB,Charged,Domestic violence,"Accused of disorderly conduct and battery after allegedly striking his girlfriend in the face in Madison, Wisc.","Pleaded guilty to two charges, 60 days in jail, probation. Team released him the next week.",1
1/23/2016,New England,J.J. Worton,WR,Arrested,Assault,"Accused of assault and battery after fight at a bar in Foxboro, Mass.",Pleaded guilty to misdemeanors.,1
12/19/2015,Jacksonville,Justin Blackmon,LB,Arrested,DUI,"Accused of drunken driving in Carter County, Okla. Blackmon already was serving an indefinite NFL suspension at the time of his arrest.",Resolution undetermined.,1
10/15/2015,Seattle,Derrick Coleman,FB,Arrested,Hit-and-run,"Accused of leaving the scene of an accident after his vehicle struck the back of a Honda Civic, causing the driver to suffer serious injuries in Bellevue, Wash.","Pleaded guilty to vehicular assault, 240 hours community service, restitution. Team suspended him.",1
9/30/2015,Tennessee,Dorial Green-Beckham,WR,Arrested,Outstanding warrant,"Pulled over for speeding in Missouri, where officer found an outstanding warrant for previous unpaid speeding ticket.",Paid $92 and received warning.,1
8/26/2015,San Francisco,Ahmad Brooks,LB,Indicted,Sexual battery,"Accused of misdemeanor sexual battery in Santa Clara County, Calif., stemming from a December 2014 incident at the home of teammate Ray McDonald.","Plea deal involving reduced charge, 100 hours community service, restitution.",1
8/6/2015,San Francisco,Aldon Smith,LB,Arrested,DUI,"Accused of hitting a parked vehicle with his vehicle, being under the influence of alcohol and vandalism in Santa Clara, Calif.",Resolution undetermined. Released by team the next day.,1
7/28/2015,Carolina,Stephen Hill,WR,Cited,Drugs,"Pulled over for seatbelt violation in Concord, N.C., cited for possession of drug paraphernalia after officer smelled marijuana.","Pleaded guilty to misdemeanor, 48 hours community service, one year of probation.",1
7/20/2015,Kansas City,Justin Cox,DB,Arrested,Domestic violence,"Accused of domestic violence, trespassing and burglary in Mississippi.",Resolution undetermined. Released by team the next day.,1
7/20/2015,Tennessee,Justin Hunter,WR,Surrendered,Assault,Charged with felonious assault stemming from an incident at a Virginia Beach bar July 4.,Acquitted by judge.,1
7/14/2015,New York Jets,Sheldon Richardson,DE,Arrested,Resisting arrest,"Accused of resisting arrest after street racing, speeding and running through a traffic signal in Missouri. Gun found under seat.","Pleaded guilty to reduced charges. Two years of probation, 100 hours community service, $1,050 in fines.",1
7/13/2015,New York Giants,Josh Brown,K,Arrested,Violating court order,Accused of violating protective order obtained by wife in Washington state after his previous arrest. The order prevented him from being within 500 feet of her.,Charge dropped.,1
7/4/2015,Green Bay,Andrew Quarless,TE,Arrested,Gun,"Accused of firing a gun in public in Miami Beach, a misdemeanor offense.","Pleaded no contest, $1,000 fine, one year probation, gun safety and anger management classes.",1
7/1/2015,Houston,Brandon Ivory,DT,Arrested,Burglary,Accused of first-degree burglary in Alabama after victims said two armed men kicked in their door and stole cash and iPads.,Resolution undetermined.,1
6/7/2015,New England,Brandon Spikes,LB,Charged,Hit-and-run,"Accused of leaving the scene of a crash in Foxborough, Mass., in which a woman and boy in another car suffered minor injuries.","Cut by team the next day. Pleaded guilty to multiple charges, one year of probation.",1
5/25/2015,Chicago,Ray McDonald,DT,Arrested,Domestic violence,"Accused of assaulting a woman while she was holding a baby in Santa Clara, Calif.",Resolution undetermined. Released by team the same day.,1
5/22/2015,New York Giants,Josh Brown,K,Arrested,Domestic violence,"Accused of fourth-degree domestic violence by wife, who later obtained a protective order against him in Washington state.",Charge dropped. NFL suspended him one game.,1
3/18/2015,Baltimore,Bernard Pierce,RB,Arrested,DUI,Failed sobriety tests after his 2014 Ford Mustang was pulled over for speeding in Baltimore County.,Resolution undetermined. Team released him same day.,1
3/15/2015,Pittsburgh,Antwon Blake,CB,Arrested,Public intoxication,"Accused of being drunk in public in Oceanside, Calif.",Resolution undetermined.,1
3/9/2015,Arizona,Alex Okafor,LB,Arrested,Evading arrest,"Accused of running from the scene after police received a report of a disturbance and then tried to detain him in Austin, Texas.",Resolution undetermined.,1
3/5/2015,San Francisco,Bruce Miller,FB,Arrested,Domestic violence,"Suspected of misdemeanor battery in domestic incident in Santa Clara, Calif.","Pleaded no contest to misdemeanor domestic violence charge, 16 weeks of counseling.",1
3/1/2015,Green Bay,Jarrett Bush,CB,Arrested,Public intoxication,"Accused of disorderly conduct while under the influence after police received a report of a fight in Vacaville, Calif.",Case dropped.,1
3/1/2015,Baltimore,Victor Hampton,CB,Arrested,DUI,"Pulled over in Charlotte, accused of driving while impaired and driving 100 mph in a 55-mph zone.",Resolution undetermined. Team cut him the next day.,1
2/16/2015,Philadelphia,Nate Allen,S,Arrested,Indecent exposure,"Pulled over in Fort Myers, Fla., after a girl said she saw a man exposing himself. He later was exonerated after ""false arrest.""",Case dropped. Allen cleared of all wrongdoing.,1
2/5/2015,Indianapolis,Ahmad Bradshaw,RB,Cited,Drugs,"Pulled over in Preble County, Ohio, for traffic violation, accused of marijuana possession.","Pleaded no contest to marijuana charge, $351 fine, six-month driving suspension. NFL one-game suspension.",1
2/4/2015,Dallas,Joseph Randle,RB,Arrested,Drugs,"Accused of marijuana possession in Wichita, Kan., after report of domestic disturbance at hotel. No signs of injury, police said.",Dropped by police. NFL suspended four games.,1
2/3/2015,Green Bay,Letroy Guion,DT,Arrested,"Drugs, gun","Pulled over in Starke, Fla., accused of felony drug possession with 357 grams of marijuana. He also had a gun and $190,000 in cash.","Deferred prosecution, probation.",1
2/3/2015,Indianapolis,D'Qwell Jackson,LB,Arrested,Assault,"Accused of hitting a pizza delivery driver in the head in a dispute over a parking space in Washington, D.C.","Convicted of misdemeanor assault, $1,000 fine.",1
2/2/2015,Baltimore,Terrence Cody,DT,Indicted,"Animal cruelty, drugs","Charged with two felony counts of aggravated animal cruelty in Baltimore County after one of his dogs died, illegal possession of alligator and marijuana.","Convicted of misdemeanor neglect, acquitted by judge of felony charges. Released by team the same day.",1
